,artist,song,text,explicit_label
27522,Chris Brown,D.G.I.F.U.,"[Verse 1: Tyga]   Ya'll know me, the still same OG, young T-Y-G   Hated on by most these niggas   But I still keep shittin' on niggas lowkey   I don't fuck with you to the third degree   I keep a G, DMV, you owe a three   Schemin' on the low, tryna make a nigga profitly   All I do is get money, fuck, and sleep   I should run for mayor   Been runnin' shit, you barely maintainin', bitch   No, this ain't no (?) shit   Break a neck on some Busta shit   (?) shit   I be on til infinity   Don't predict, bitch, what I'm gonna do   Cause chances are I've outdone you   And most of my so called enemies   Spit your game, talk your shit   Grab your gat, call your clique   Ball so hard I don't need the assist   I'm the best so I keep that shit   Nigga, you should too   If you knew what this game'll do to you   Look at bullshit that I've been through   This the drive through and shit on you      [Hook: Tyga]   Don't get it fucked up   Yesterday was the freshest nigga in America   I swear to God I ain't lyin', bruh, I ain't lyin' bruh   In America   Don't get it fucked up   Niggas talkin' bout oh shit   I pull up like oh shit   Now look whose talkin', bitch   Now look whose talkin', bitch, yeah   Don't get it fucked up   I do this shit for my, I do this shit for my   Do this shit for my loved ones   Don't get it fucked up   I do this shit for my, I do this shit for my   I don't trust niggas, I only trust funds nigga      [Verse 2: Chris Brown]   Nowadays everybody wanna talk like they got somethin' to say   But nothin' comes out when they move they lips   This extended clip will make Buddha shit   Shawty comin' and pullin' up with them hooter tips   Never use a nigga, but she abuse the dick   I let the pussy let the air drop   We in a boat, nigga, right off the coast   European or Caribbean, I'm sweatin' on hair dye   So don't get it fucked up   I got a handful of matches, fuckin' with a bad bitch   All my niggas is savages, better loc up   Damn ,it's a tragedy, all of these casualties   Metal through his body, nigga, check his anatomy, oh shit   Why you pillow talkin'? That's ho shit   Nigga, you a geek, still talkin' 'bout me fucking yo' bitch   I can't lie, can't lie   I got a bunch of bad hoes and a wife on the side   I believe I can fly, I'm the shit now   Wanna be like Mike when I die   Step right up, can't name any nigga that can fuck with us   I'mma bring the pain, we gon' be the game-changers   All in your face, I'm bustin' nuts      [Hook]      [Verse 3: Pusha T]   Did ya'll think I would let my dough freeze?   Ho, please! Better bow down on both knees   Who you think taught you to throw P's?   Who you think taught you to rap keys?   Dress (?) Phillip Limb, SLP's   Like Snoop D-O-double G   Nigga murda was the case so motherfuck the police   Ya'll niggas soft like Emojis, with the heart eyes   Ya'll part skies, ya'll cloud killas   We aimin' niggas, my soldiers blacker than apartheid   We coupe niggas, you niggas riding four doors   Like Uber nigga, we pilin' all of your whores   On the canopy my stamina be   Enough for Pamela Anderson Lee   My Katy Perry ain't afraid to carry   That shit you sniff, Taylor Swift   Niggas talk yet it remains a myth   I never seen it, they only dream it   They rap about it, do interviews   With they toy cars and they little jewels      [Hook:]  ",TRUE
11568,Lil Wayne,High Beamin,"[B.G.]   Niggas be hating 'cause B.G. got it   On top of the line only got it but I ride it   From the hummer to the rover to the project   B and C Lex truck nothing in my click ain't hey   Everybody here was fucked when they heard 'bout the deal   Cash money hot boyz sound for thirty mill   Already was straight but we living larger   Already was balling but now we balling harder   Bet you bitches can't stay clean   Cause my wrist stay flossed off   Niggas hate me 'cause all day I'm flossed off   Ghetto lady in my dog bay Mercedes   Niggas find out they got whole got fuck it then they cave me   That's how it go it ain't my fault   I got mega cheese   Walk that walk, talk that talk   I'm B.G.   Papers chase so footy get my grind on   I look through it 'cause I made that song gets it shine on      [Chorus]   My click be sizziling hot steaming   Bouncing rules diamonds hot beaming   Me and my click be sizziling hot steaming   Stepping throught niggas diamond hot beaming   Me and my click be sizziling hot beaming   Rep out niggas diamonds hot beaming      [Lil Wayne]   What what what   I'ma flosser baby   Baller baby   A fifteen year old shot caller baby   I'm raised in the hood   In a all black call   Down Mercedes cool   Got your wife at my house and she naked too   And all my niggas all around us saying shake it boo   Go ahead do what you do   It's weezing darling off that heezing darling   I', surrounded by the ice it got me freezing darling   It's plain and simple   My change and it's natural   Now Wayne will pimp ya'll   Got game from beatrall   Trying to see six numbers   At the Grammy awards with six hummers   Me the Grammy award with six woman's   Nigga stop at the gas station for six rubbers   Put it together   This is the night for you to get under the cheddar   Don't try to end it or you wouldn't get better      [Chorus]      [Lil Wayne]   Here I come star rapper   I get the fast money   Short cute hot boy   And rap for cash money   Stand out the roof of my car and flash honeys   Take your girl to the mall and spend a gee like it's nothing   If you lay on the floor   Open up the spot   Take off her draws   Let me see the cot   Don't stop   Lil' Weez lil' weez and nothing nice   But yet to my Jesus Christ   Nothing but ice   When they see me at night   Behind Cristal see night   Snatch your wife   Run up in there with the K why   It's all mine   Ever since I was born Wayne   Nigga get out of line I get dirty like John Wayne   I bought something to floss it   Whatever come with it   Now don't shoot us unless they have a drum with it   At first they weren't with it   But then I was choking   I got 'em all paying attention like they owe it   What      [Chorus]  ",TRUE
43066,Marilyn Manson,Unkillable Monster,"How the fuck are we supposed to know   When I'm a monster, the way   You refuse to die?   How the fuck are we supposed to know   If we're in love or if in we're pain      I'm a tightrope walker   Can't find my circus   And I'm damaged beyond repair   Now you're just a coffin of a girl I knew   And I'm buried in you      You never said ""I'll end up like this""   Or ""so""   You never said ""I'll end up like this""   No      Sometimes I dream I'm an exterminating angel   A traveling executioner from heaven   Sent to give you the prettiest death I know   Call the grave and make our reservations      You never said ""I'll end up like this""   You never said ""I'll end up like this""   No,   You never said ""I'll end up like this""   You never said ""I'll end up like this""   No,   You never said ""I'll end up like this""   You never said ""I'll end up like this""   No      Are we in love or are we in pain? [Repeat: x5]      How the fuck are we supposed to know   When I'm a monster, the way   You refuse to die?   How the fuck are we supposed to know   If we're in love or if in we're pain   Why is my wound a front door to you?   Am I my own shadow?   Why is my wound a front door to you?   Am I my own shadow?  ",TRUE
36420,Ice Cube,It's A Man's World,"Women they're good for nothing no maybe one thing   To serve needs to my ding-a-ling   I'm a man who loves the one-night stand   Cause after I do ya   Huh I never knew ya   Cause to kick it man it gives me the fits   They wanna lay with they nose under your armpits   Ice Cube won't wait so give it up cow   After we do it you can go home now   I'm a brother with a big long...      First of all let me tell you my name it's Yo-Yo   When down on a girl first the fist and that's a no-no   Yo-Yo thinks the kitchen sink should be thrown in   Niggas be scheming and fiending to stick the bone in   No, Yo-Yo's not a hoe or a whore   And if that's what you're here for   Exit through the door   There's more   To see of me but you're blind so   Women like me are fading brothers in the 9-0      Ay what up buttercupper Miss Yo-Yo   I know you like to rap and like to flow so   But when it comes to hip-hop this is a man's world   Stay down and play the playground you little girl      What you're saying I don't consider it as rapping   Cause you're on rewind and I'm the new what's-happening   It never fails I'll always get respect   And you lose so take a rain check      Hell no cause you know that I'm first and you're second   If it wasn't for me you probably be pregnant   And barefoot complaining that your back is aching   Shaking and faking while I'm bringing home the bacon      Well you're mistaken   It's not going that far   I make brothers like you play the back yard   You used to flow with the title but I took it   Bring home the bacon but find another hoe to cook it      Damn it look it   Cause you're talking a lot of bull      Well I'm not your puppet so don't even try to pull      This is a man's world thank you very much      But it wouldn't be a damn thing without a woman's touch      Ah Miss Yo-Yo so what gives   I hear females always talkin about women's lib   Well get your own crib   And stay there   Instead of having more babies for the welfare   Cause if you don't I'll label you a gold digger   The name is Ice Cube you know that I ain't the nigga   For you to look at when your hair get nappy   So take a piece of the pole and be happy      Hell no because to me you're not a thriller   You come in the room with your three-inch killer   Thinking you can do damage to my backbone   Leave your child in the yard until it's full-grown   I'm a put it like this my man   Without us your hand would be your best friend   So give us credit like you know you should   If I don't look good you don't look good      I doubt it baby cause we're still most dominant      But you don't know how funky that I can get      This is a man's world thank you very much      But it wouldn't be a damn thing without a woman's touch      Man women I put a lot of fear in em   Cause I had it up to here with em   Drink a beer with em   No way cause I can only deal with em about an hour every day   Yeah if you know what I mean baby      Well I guess now that I think about it I think maybe   If you was more of a man instead of faking it   Women deserve the credit when they're making it      Yeah so what's the problem      Well I think we solved it   I know they know the best male from who's doggin it      Yeah I admit you can flow      Well that's true      But you see I'm a pro with the bank too      Yeah I can see you got it good      Oh that I know      But you see you're not better than Yo-Yo   The brand-new intelligent black lady      You're kinda dope but you still can't fade me      So what up then      Girl what you tryin to do      To prove a black woman like me can bring the funk through      This is a man's world thank you very much      But it wouldn't be a damn thing without a woman's touch      Or a big butt...  ",TRUE
24237,Ariana Grande,Thinking Bout You,"[Verse 1]   I've been thinking 'bout you   Yeah, I been missing you   Where the hell are you, oh, when I need you?   I could still hear your voice   I ain't got no choice, cause I'm here all alone   I know I can't wait 'til you get home      [Pre-Chorus]   Oh, I don't have you here with me   But at least I have the memory   I tried to make it through the night   But I can't control my mind      [Chorus]   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you      [Verse 2]   Got these thoughts in my head   Ain't no way to forget   Got me losing my breath   Nobody got me the way that you did   Had my eyes rolling back   Had me arching my back   Now you love me so good   I wish you would hurry up and come back      [Pre-Chorus]   Oh, I don't have you here with me   But at least I have the memory   I tried to make it through the night   But I can't control my mind      [Chorus]   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you, baby   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you      [Bridge]   Baby, I don't want no one, no one else   So hurry, cause I need some, need some, need some help   And I'll be waiting patient, patiently   Cause I don't have you here with, here with, here with me   But at least I have the memory      [Chorus]   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you   I'm just thinkin' bout you   I'm thinkin' bout you, I'm thinkin' bout you  ",TRUE
56769,Wu-Tang Clan,Meteor Hammer,"I don't touch that swine   I want that unnecessary beef   You smoke garbage buds   We smoke tons of keef   Fishing, looking for that big-mouth bass   An' flashing, jack your whole stash   In fashion, keep my goons lined   In an orderly fashion   It's glossy with 500 horsies in the Benz   Tinted out to spend the night   You ain't got angel funds is low, stack   Your bitch been ho-jacked   Still scoop her up, bring her home   And blow that, 'cause Ghost be mostly   Looking pretty toasty   Front row at Mayweather verse Mosley   With a Bin Laden bottle   A Brazilian model   Got the paparazzi jumping   Like they hit the Lotto   I party hard, like I""m fresh out of the cages   I rages like Charlie Sheen, out in Vegas      You drop your pants at your ankles   At the urinal at a ballgame   I'm on the stool getting brain   From a tall dame, 'cause I'm 5'8""   Shorty like 6'2""   Feed her coke, locked jaw like a pitbull.   I was born to rep you fucking with a hornet's nest   Old shooters in the corner like Hornacek   Young boys that be handling the rock   Chris Paul dish off, hammer in the sock   Gold flakes in the Gold Schlager   The ammo green XJ12, you know the old Jaguar   Got the birch-wood lacing the interior   Poppy bagels getting flavored out in Syria   Only the Fonz, best laced plates   Cheese that reach maturity,   Dick sucks from Shannon Doherty   Take your temperature anally and orally   Make a batch of home drizzle royally with oil B      Hopping out the Rolly Royce   Rolls Gold nouveau   Diamond-studded shoes, so   Fliest nigga you know   Puerto Rican version of Scarface   Fuck with the God's say   Disrespect, piss in your broad's face   Chains stay chunky like Oprah's belly   Got the purple and the brown:   Peanut butter and jelly   When I step up in the spot with the rock   You'll see the popular poppin' rappers   Go in their pocket and pull out their wallet   When I click-clack, now get up on the ground   Cause I Onyx, Pete Rock, Chuck D shut 'em down   You know Term, I'm the kid with the 'preme beats   Butter Pecan J Lo, kid with the mean cheeks   Boobies on my gold fronts, iced out notebook   Making volcanoes in the kitchen when the coke cook   I rode around with all kinds of thugs   High on drugs, pissing out tiger blood  ",TRUE
16167,P!nk,Are We All We Are,"Are we all we are   Are we all we are      Cut to now, holy wow   When did everything become such a hell of a mess   Maybe now maybe now can somebody come and take this off my chest      I know you think it's not your problem   I know you think that god will solve them   But if your sh-t is not together   It'll never be you and me, plant the seed   Open up and let it be      We are the people that you'll never get the best of   Not forget the rest of, rest of   We've got it all, we've had enough, we've had it up here   Are we all we are   Are we all we are      We are the people that you'll never get the best of   Not forget the rest of, rest of   Just say it loud, until the kids are singing right back   Are we all we are   Are we all we are      Are we all we are   Are we all we are      Seven seconds, seven seconds   That is all the time you got to make your point      My attention, my attention's like an infant trying to crawl across the joint   I know we're better than the masses   But we follow with our asses   And if our shit is not together   It'll never be you and me, plant the seed   Open and let it be      We are the people that you'll never get the best of   Not forget the rest of, rest of   We've got it all, we've had enough, we've had it up here   Are we all we are   Are we all we are      We are the people that you'll never get the best of   Not forget the rest of, rest of   Just say it loud, until the kids are singing right back   Are we all we are   Are we all we are      Are we all we are   Are we all we are      Four, that's how many years it took me to get through the lesson that I had to do it all on my own   Three, that's how many hail mary's they would pray for me thinking I was gonna end up all alone   Two for the second changes that you've given me, can it be?   Lucky me lucky me, now let's go   One is what we are, is what we are   Are we all we are   Are we all we are      We are the people that you'll never get the best of   Not forget the rest of, rest of   We've got it all, we've had enough, we've had it up here   Are we all we are   Are we all we are      We are the people that you'll never get the best of   Not forget the rest of, rest of   Just say it loud, until the kids are singing right back   Are we all we are   Are we all we are      Are we all we are   Are we all we are      We are the people that you'll never get the best of   Not forget the rest of, rest of   Look to the future, sing it loud, and take the power back   Are we all we are   Are we all we are  ",TRUE
7335,Guns N' Roses,Garden Of Eden,It's a critical solution   And the east coast got the blues   It's a mass of confusion   Like the lies they sell to you      You got a glass jawed toothache   Of a mental disease   An they be runnin' round back   See 'em line up on their knees   Cause the kiss ass sycophants   Throwin' penance at your feet      When they got nowhere to go   Watch 'em come in off the streets   While they're bangin' out front   Inside their slammin' to the cruch   Go on an throw me to the lions   And the whole damn screamin' bunch   Cause the pissed-off rip-offs   Are' everywhere you turn   Tell me how a generation's   Ever s'posed to learn   This fire is burnin'   And it's out of control   It's not a problem you can stop   It's rock n' roll      I read it on a wall   It went straight to my head   It said Dance to the tension   Of a world on edge   We got racial violence   And who'll cast the first stone   And sex is used anyway it can be   Sometimes when I look out   It's hard to see the day   It's a feelin' you can have it   It's not mine to take away      Lost in the garden of Eden   Said we're lost in the garden of Eden   And there's no one's gonna believe this   But we're lost in the garden of Eden   This fire is burnin'   And it's out of control   It's not a problem you can stop   It's rock n' roll   Suck on that      Looking through this point of view   There's no way I'm gonna fit in   Don't ya tell me what my eyes see   Don't ya tell me who to believe in   I ain't superstitious   But I know when somethin's wrong   I've been draggin' my heels   With a bitch called hope   Let the undercurrent drag me along      Lost in the garden of Eden   Said we're lost in the garden of Eden   And there's no one's gonna believe this   But we're lost in the garden of Eden      Most organized religions make   A mockery of humanity   Our governments are dangerous   And out of control   The garden of Eden is just another graveyard   Said if they had someone to buy it   Said I'm sure they'd sell my soul      This fire is burnin'   And it's out of control   It's not a problem you can stop   It's rock n' roll   Lost in the garden of Eden   (An we ain't talkin' about no poison apple or some missin' rib ya hear)   Said we're lost in the garden of Eden   And there's no one's gonna believe this   Said we're lost in the garden of Eden   This fire is burnin'   And it's out of control   It's not a problem you can stop   It's rock n' roll  ,TRUE
36965,Insane Clown Posse,House Of Wonders,"So there you are you're sittin' there just kinda chillin'   A richie boy you look a little bit like Dylan   The 90210 bitch with the funny hair   So I'm gonna change a few things around here and there   Start with your eyes I pluck 'em both out your head   And pull your balls out your sack and stick 'em there instead   Then I snap off your toes and stick 'em in your nose   And pull the hair out your head until your skull shows   You're almost ready, gotta fix you for the show tonight   But your lips, man, to me, they just don't look right   They could be a little fatter, even more   So fuckin' fat that your lip is draggin' on the floor   Tie your tongue into a knot and stretch it out   And tack a sign on it, tellin' what you're all about   Set you up, 'cause now you're ready, so open up the door   'cause at the House of Wonders, you're the freak show      [Chorus: x2]   Carnival thrills   Carnival shows   Carnival excites you   Carnival kills   (Ah, oh, ah, oh)   Another freak show for the jugga-lugga-lo      So there you are, come on in, chickie, wow! Ain't you a pretty?   I think I'll start with the silicone that's in your titty   I'll pull it out and put it in your forehead and cheek   So now, you look like the elephant bitch freak   Don't try to run, chickie-poo, I'm just gettin' started   I'll beat your head in with a brick until you're half-retarded   Remember that ugly girl you laughed at at the prom?   Don't try to laugh now, bitch, you look like her mom   You came to do the starin', but it's you they're starin' at   I'll stuff you full of chili-cheese dogs to make you fat   Then I'll stretch your fuckin' lips and stick 'em in your ear   So all that evil shit you talk, only you can hear   I shave you bald, and glue your titty on the top   And then I spit on your nipple until you drop   Hey! Almost ready? Jump steady, open the door   Cause at the House of Wonders, you're the freak show      [Chorus x2]      Oh, oh, oh my God [Repeat: x2]   Oh my God""      [Chorus: Repeats]  ",TRUE
8122,Ice Cube,The Predator,"You can run but you can't hide from the westside   Night stalker shit talker run and tell them Mr L.M.   Nigga with the gat and I'm back   Off the everyday prey that I slay   Rolling with the fo' chase ya through South Central   Monkey wrench ho's should know that she'll get the balzac   Cause I'm not staving but fuck that   Johnny Carson ho' never had me on the Late Night Show   Coming with the shit that'll hitch   Steady mobbing cause the flavors good   There goes the neighborhood nigga with the third album   How come he don't fall off?   Rolling with the sawed-off gauge   Turn the page of the chapter, caught up in the rapture   But you know Anita, she can get the Pita   Eat 'em up yum, and your flawed   Mutha-fuck Billboard and the editor   Here comes the Predator.      Check your head for the new style   Fuck Lawrence Powell and Presino, Wynd and Koon   Pretty soon we'll fuck them like they fucked us and won't kiss 'em   Riots ain't nothing but dodge for the system   Fighting with the beast, no justice, no peace   If any, even if we fuck up Denny   Niggaz are sick of your white mans tricks with no treat   That's right, now it's on, on sight   You call me a Muslim, no I'm not a resident, still got my vote in   Farrakhan for president, a white America, I'm tearing ya   A new ass ho', who's the nigga with the new black   Strolling to your suburb house and I douse with gas   Now who's cleaning up trash?   Eat 'em up yum, and your flawed   Motherfuck Billboard and the editor   Here comes the Predator.      Get my black rag showing and I'm ?   Kiss my grips like ? or Mel's Diner   I'm meaner than a motherfucking Hyena, chasing Antelope   Put a chrome to your dome, watch it bust like a Cantelope   I can't stand a rope, so don't try to hang 'em   Talk about dog's, boy I can sling 'em   Ratta-tat-tat on your noggin   Cause Ice will cream your ass like ? chocolate   I get crazy when I catch a rap   Even be flipping the toungue like ? Das-Efx   So who is Ice Cube?   I'm a rapper, actor, macker   Got a little problem with the redneck cracker   Get the polly, whack her, ? is a devil shit-packer   Coming with a crazy pitch   And the statue of Liberty ain't nothing but a lazy bitch   Don't want to give up the crack to the black   But you call it racial, if we go and break the ho'   But eat 'em up yum and your flawed   Mother-fuck Billboard and the editor   Here comes the Predator  ",TRUE
