,artist,song,text,explicit_label
38729,Josh Groban,Weeping,"(Feat. Ladysmith Black Mambazo)      I knew a man who lived in fear   It was huge, it was angry,   It was drawing near.   Behind his house a secret place   Was the shadow of the demon   He could never face.      He built a wall of steel and flame   And men with guns to keep it tame   Then standing back he made it plain   That the nightmare would never ever rise again   But the fear and the fire and the guns remain.      It doesn't matter now it's over anyhow   He tells the world that it's sleeping   But as the night came round I heard   It's lonely sound   It wasn't roaring, it was weeping   It wasn't roaring, it was weeping.      And then one day the neighbors came   They were curious to know about the smoke and flame   They stood around outside the wall   But of course there was nothing to be heard at all   ""My friends,"" he said, ""We've reached our goal   The threat is under firm control   As long as peace and order reign   I'll be damned if I can see a reason to explain   Why the fear and the fire and the guns remain. ""      It doesn't matter now it's over anyhow   He tells the world that it's sleeping   But as the night came round I heard   It's lonely sound   It wasn't roaring, it was weeping   It wasn't roaring, it was weeping.      Say ah, say ah, say ah   Say ah, say ah, say ah      [Ladysmith's solo]      It doesn't matter now it's over anyhow   It doesn't matter now it's over anyhow      It doesn't matter now it's over anyhow   He tells the world that it's sleeping   But as the night came round I heard   It's lonely sound   It wasn't roaring, it was weeping   It wasn't roaring, it was weeping.      Say ah, say ah, say ah   Say ah, say ah, say ah [to end]  ",FALSE
13475,Natalie Cole,I've Got Love On My Mind,I've got love on my mind   I've got love on my mind   I've got love on my mind      And there's nothing particular wrong   It's a feeling I feel inside   When I woke up early this morning   It was staring me straight in my eye   I got there I start to unwind   In your arms I like to be      Caressing you gently and passionately   From sunrise to sunset and all through the day   I've been waiting for your return   And you know this is where I'll be   I can say to the world   I learned only you can satisfy me      I've got love on my mind   I've got love on my mind   I've got love on my mind      When you touch me I can't resist   And you've touched me a thousand times   When I think of your tender kiss   Then and there I start to unwind  ,FALSE
8418,Indigo Girls,Bury My Heart At Wounded Knee,"Indian legislation's on the desk of a do right congressman   And he don't know much about the issues so he picks up the phone   And asks the advice of the senator out in Indian country   A darling of the energy companies ripping off   What's left of the reservation      I learned the safety rule   I don't know who to thank   Don't stand between the reservation   And the corporate bank   They're sending federal tanks   It isn't nice but it's reality      Bury my heart at wounded knee   I said deep in the earth   Won't you cover me with pretty lies   Bury my heart at wounded knee      We got these energy companies   Who want to take the land   And we got churches by the dozens   Trying to guide our hands   And turn our mother earth   Over to pollution war and greed   No no      Bury my heart at wounded knee   Bury my heart at wounded knee   I said deep in the earth   Bury my heart at wounded knee   Won't you cover me with pretty lies   Bury my heart at wounded knee   Bury my heart at wounded knee      We got the federal marshals   We got the covert spies   We got the liars by fire   And the FBI   They lie in court and get nailed   And still Leonard Peltier goes off to jail   (the bullets don't match the gun)      Bury my heart at wounded knee   An eighth of the reservation   Bury my heart at wounded knee   Was transferred in secret   Bury my heart at wounded knee   We got your murder and intimidation   Bury my heart at wounded knee      My girlfriend anna may   Talked about uranium   Her head was full of bullets   And her body dumped   The FBI cut off her hands   And told us she died of exposure      To bury my heart at wounded knee   Bury my heart at wounded knee   I said deep in the earth   Bury my heart at wounded knee   Won't you cover me with your pretty lies   Bury my heart at wounded knee   Bury my heart at wounded knee   Bury my heart at wounded knee   Talk about a revolution   They stole my land   They won't steal my soul      We had the gold rush wars   Why didn't we learn to crawl'   And now our history gets written in a liar's scrawl   They tell me ""don't be so uptight   I mean honey you can still be an Indian   Down at the y on saturday night''      Bury my heart at wounded knee   Bury my heart at wounded knee   I said deep in the earth   Bury my heart at wounded knee   Won't you cover me with your pretty lies   Bury my heart at wounded knee   Bury my heart at wounded knee      Bury my heart   It was an eighth of the reservation   Bury my heart   Yeah was transferred in secret   Bury my heart   Got your murder, murder, murder and intimidation   Bury me   Bury me   Bury me   Bury my heart   Bury my heart   Bury my heart   Bury my heart  ",FALSE
25786,Bob Dylan,Changing Of The Guards,"Sixteen years,   Sixteen banners united over the field   Where the good shepherd grieves.   Desperate men, desperate women divided,   Spreading their wings 'neath the falling leaves.      Fortune calls.   I stepped forth from the shadows, to the marketplace,   Merchants and thieves, hungry for power, my last deal gone down.   She's smelling sweet like the meadows where she was born,   On midsummer's eve, near the tower.      The cold-blooded moon.   The captain waits above the celebration   Sending his thoughts to a beloved maid   Whose ebony face is beyond communication.   The captain is down but still believing that his love will be repaid.      They shaved her head.   She was torn between Jupiter and Apollo.   A messenger arrived with a black nightingale.   I seen her on the stairs and I couldn't help but follow,   Follow her down past the fountain where they lifted her veil.      I stumbled to my feet.   I rode past destruction in the ditches   With the stitches still mending 'neath a heart-shaped tattoo.   Renegade priests and treacherous young witches   Were handing out the flowers that I'd given to you.      The palace of mirrors   Where dog soldiers are reflected,   The endless road and the wailing of chimes,   The empty rooms where her memory is protected,   Where the angels' voices whisper to the souls of previous times.      She wakes him up   Forty-eight hours later, the sun is breaking   Near broken chains, mountain laurel and rolling rocks.   She's begging to know what measures he now will be taking.   He's pulling her down and she's clutching on to his long golden locks.      Gentlemen, he said,   I don't need your organization, I've shined your shoes,   I've moved your mountains and marked your cards   But Eden is burning, either brace yourself for elimination   Or else your hearts must have the courage for the changing of the guards.      Peace will come   With tranquility and splendor on the wheels of fire   But will bring us no reward when her false idols fall   And cruel death surrenders with its pale ghost retreating   Between the King and the Queen of Swords.  ",FALSE
46630,Oingo Boingo,Whole Day Off,Have you seen my girlfriend   She lives in a pig pen   Have you seen my girlfriend   I can't seem to find her   Perhaps she is hiding   Underneath a blade of grass   CHORUS   Let's take the whole day off   Let's take the whole day off   Let's take the whole day off . . .   Have you seen my new house   Looks just like a dog house   Have you seen my new house   Someone saw it walking   Straight into the ocean   He thought it was an ivory boat   CHORUS   BRIDGE   Maybe--it's just a bad dream and I'll wake up soon   But I don't think I'll be so lucky   Maybe--it's just one of those strange days when nothing seems right   No nothing seems right at all   Went up to a pay phone on a bathroom wall   But I can't remember who I want to call   Operator can you help me   Have you seen my garden   It is most peculiar   Have you seen my garden   Nothing there that grows   Looks anything at all like plants   I hear their voices . . .   Let's take the whole day off . . .   CHORUS   Have you seen my girlfriend   Have you seen my girlfriend . . .       ,FALSE
53200,Tim McGraw,I'm Only Jesus,"Bobby's got a duster '79   Bottle of Jack and a forty-five   Points it at his head   And he starts to cry,   To proud to ask me to save his life      Billy's in a limo   On the upper east side   Playing Russian Roulette   With the long white line   His wife gets a call at three am   Saying billy ain't never coming home again      She asks me why?      And I said,   I sure wish you'd believe   That everybody's free   And I'll help you if you ask me to,   I gave every star a name   The sunshine and the rain   But I can't decide the road you choose   That's up to you   I'm only Jesus      Johnny had a good job   Rackin' it in   Caviar parties   With his well to do friends   Something was missing   From his perfect little life   He through in the towel   And he called me one night      Betty was an orphan   Like so many kids   They taught her in school   That I didn't exist   She had every reason not to talk to me   But every night before bed   She got down on her knees   Just to tell me hi      And I said,   I'm sure glad you believe   Cause everybody's free   And I'll help you if you ask me to,   I gave every star a name   The sun shine and the rain   But I can't decide the road you choose   That's up to you   I'm only Jesus      Hey your all the same to me   Everybody's free   And I'll help you if you ask me to,   I gave every star a name   The sun shine and the rain   But I can't decide the road you choose   That's up to you   I'm only Jesus      I'm only Jesus   I'm only Jesus      Gotta have Jesus to see the light   Gotta have Jesus to hold you tight   Gotta have Jesus to talk to me   I gotta have Jesus to set me free  ",FALSE
5978,Fall Out Boy,Young Volcanoes,"When Rome's in ruins,   We are the lions free of the coliseums   In poison places, we are empty venom   We're the beginning of the end      Tonight, the foxes hunt the hounds   It's all over now   Before it has begun   We've already won      We are wild   We are like young volcanoes   We are wild   Americana, exotica   Do you wanna feel a little beautiful, baby?      Come on, make it easy, say I never mattered   Run it up the flag pole,   We will teach you how to make boys next door out of assholes      Tonight, the foxes hunt the hounds   And it's all over now   Before it has begun   We've already won      We are wild   We are like young volcanoes   We are wild   Americana, exotica   Do you wanna feel a little beautiful, baby?      We are wild   We are like young volcanoes   We are wild   Americana, exotica   Do you wanna feel a little beautiful, baby?  ",FALSE
44079,Miley Cyrus,The Time Of Our Lives,"Seems like we're holding on forever   I gotta let it go   Times up, you pushed me to surrender (tonight)   Who knows what's happens now whatever   Wherever the wind blows   And I'm there as long as were together   Alright      Lets have the time of our lives!   Like there's no one else around   Just throw your hands up high   Even when they try to take us down   We'll have the time of our lives   Till the lights burn out   Let's laugh until we cry   Life is only what you make it now   Let's have the time of our lives!      Dreamers don't care if it's right   I think I'm really into you   Restless, let's leave it all behind   And tonight      Crazy when you cross my mind   Oh the trouble we could get into   So what let's just give this a try   Alright      Let's have the time of our lives!   Like there's no one else around   Just throw your hands up high   Even when they try to take us down   We'll have the time of our lives   Till the lights burn out   Let's laugh until we cry   Life is only what you make it now   Let's have the time of our lives!      Lookin' back what are we waitin' for?   Take the chance   Now's all we got for sure!      Let's have the time of our lives!   Like there's no one else around   Just throw your hands up high   Even when they try to take us down   We'll have the time of our lives   Till the lights burn out   Let's laugh until we cry   Life is only what you make it now   Let's have the time of our lives!  ",FALSE
53187,Tim McGraw,Forget About Us,I'm gonna drive on out   To the river tonight   Find a quiet spot   Turn on my parking lights   I'm gonna drink some beers   Try to catch a buzz   Turn my radio up   And forget about us      I'm gonna lay me down   On the hood of this car   Make another wish   Upon a falling star   I'm gonna think again   About the way it was   I'm gonna close my eyes   And forget about us      [Chorus:]   I know it won't be easy   But I've got a plan   To just let my memory let go of your hand   I'm gonna miss your touch   But I know I must   Forget about us      When the morning sun   Burns across my face   I'll put my shirt back on   Get up and walk away   I'm gonna climb my frame   Onto a greyhound bus   Take a little blue pill   And forget about us      [Chorus:]      By the time I get to Phoenix   I won't know your name   Those soft green eyes   Warm skin   And the way you say good morning   And I'll be alright  ,FALSE
15668,Pearl Jam,Daughter,"Alone, listless, breakfast table in an otherwise empty room   Young girl, violence, center of her own attention   The mother reads aloud child tries to understand it   Tries to make her proud      The shades go down it's in her head   Painted room, can't deny there's something wrong      Don't call me daughter not fit to   The picture kept will remind me   Don't call me daughter not fit to   The picture kept will remind me      Don't call me,   She holds the hand that holds her down   She will, rise above      Don't call me daughter, not fit to   The picture kept will remind me   Don't call me daughter, not fit to be   The picture kept will remind me   Don't call me daughters      The shades go down   The shades go, go, go  ",FALSE
